Interval,Humidity.Average,Temperature.Average
11/12/2020 01:00 AM,55.773387558172615,21.563682995404694
11/12/2020 01:15 AM,56.955926045890344,19.81781668500358
11/12/2020 01:30 AM,55.82340653910427,19.5196506936681
11/12/2020 01:45 AM,57.709116081241284,19.666733904233876
11/12/2020 02:00 AM,57.49098878539405,19.02140022008964
11/12/2020 02:15 AM,58.218988045075584,18.982536521633687
11/12/2020 02:30 AM,58.79576112421929,18.828793908534017
11/12/2020 02:45 AM,58.75662719937682,18.483455927143613
11/12/2020 03:00 AM,60.0465411543873,18.70489664131742
11/12/2020 03:15 AM,59.010694145384214,18.217555177204453
11/12/2020 03:30 AM,60.78517269701943,18.38648038962205
11/12/2020 03:45 AM,59.77584766434481,18.055505644306397
11/12/2020 04:00 AM,61.00076758621706,17.965787936153284
11/12/2020 04:15 AM,61.527030799156805,18.033656034768054
11/12/2020 04:30 AM,60.56312025839042,17.669315302723817
11/12/2020 04:45 AM,62.33703584114812,17.78885726195889
11/12/2020 05:00 AM,61.301683282228126,17.449123242550947
11/12/2020 05:15 AM,62.68594162492501,17.40365039678549
11/12/2020 05:30 AM,61.88755447254285,17.742793974582447
11/12/2020 05:45 AM,61.868263672158875,17.7864925351748
11/12/2020 06:00 AM,62.12320183890956,17.933887020481514
11/12/2020 06:15 AM,61.70290368795575,17.65937904895162
11/12/2020 06:30 AM,62.64894131991195,17.420320125067256
11/12/2020 06:45 AM,61.519020012008845,17.63289228397746
11/12/2020 07:00 AM,62.72764494969695,17.654263951253977
11/12/2020 07:15 AM,61.11629041863466,18.17465152530995
11/12/2020 07:30 AM,60.301728706699045,18.70730638693088
11/12/2020 07:45 AM,59.19316043178819,18.744509532220533
11/12/2020 08:00 AM,57.91545817054532,19.406151402097567
11/12/2020 08:15 AM,58.4160184449693,19.404267798242408
11/12/2020 08:30 AM,56.79610681203162,19.673669616575307
11/12/2020 08:45 AM,57.3744869998943,20.083895349561796
11/12/2020 09:00 AM,56.089677381944604,19.951172423313018
11/12/2020 09:15 AM,55.754236209116115,20.473861984721825
